# SAVED: date 08/18/2021 time 10:28:32
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*01000001
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
45089.1896,220.2289,-67.5816494606076,15,-,19150.0701904297,-,-,-,-,-,1931.73360824585
45307.9546,218.765,-66.2641121827091,15,-,19273.7464904785,-,-,-,-,-,1931.49530887604
45528.1647,220.2101,-64.9490049817643,15,-,19373.6267089844,-,-,-,-,-,1933.25781822205
45749.4769,221.3122,-63.6245723379817,15,-,19484.6267700195,-,-,-,-,-,1929.7091960907
45968.1885,218.7116,-62.3059950643158,15,-,19591.6690826416,-,-,-,-,-,1930.92381954193
46188.4268,220.2383,-60.9828923416681,15,-,19684.0133666992,-,-,-,-,-,1924.51751232147
46408.8336,220.4068,-59.6637768224229,15,-,19785.8333587646,-,-,-,-,-,1927.4228811264
46628.3457,219.5121,-58.3447649832661,15,-,19896.3279724121,-,-,-,-,-,1932.01923370361
46849.3891,221.0434,-57.0195528188184,15,-,20021.6236114502,-,-,-,-,-,1931.75733089447
47070.3096,220.9205,-55.705700018944,15,-,20123.1479644775,-,-,-,-,-,1929.11374568939
47299.53,229.2204,-54.3514260850569,15,-,20249.1512298584,-,-,-,-,-,1927.99437046051
47520.6425,221.1125,-53.0000110592094,15,-,20326.810836792,-,-,-,-,-,1933.23385715485
47749.8634,229.2209,-51.6339284906056,15,-,20463.1519317627,-,-,-,-,-,1927.70874500275
47971.5451,221.6817,-50.2934625736214,15,-,20564.0811920166,-,-,-,-,-,1929.49485778809
48189.755,218.2099,-48.970078906094,15,-,20668.9720153809,-,-,-,-,-,1929.80444431305
48412.5661,222.8111,-47.6486248146132,15,-,20762.8974914551,-,-,-,-,-,1932.9719543457
48629.3577,216.7916,-46.3276360291294,15,-,20872.6272583008,-,-,-,-,-,1938.63999843597
48852.5724,223.2147,-45.0111105767344,15,-,20979.5742034912,-,-,-,-,-,1930.49514293671
49071.0788,218.5064,-43.6871355487023,15,-,21093.2655334473,-,-,-,-,-,1933.7340593338
49291.2902,220.2114,-42.3672264185399,15,-,21200.9544372559,-,-,-,-,-,1933.16245079041
49522.1854,230.8952,-41.0323400058368,15,-,21307.0182800293,-,-,-,-,-,1933.18629264832
49740.4691,218.2837,-39.6797294692091,15,-,21431.3716888428,-,-,-,-,-,1931.54299259186
49961.9016,221.4325,-38.3496776206316,15,-,21534.3971252441,-,-,-,-,-,1927.92308330536
50181.65,219.7484,-37.0284603395928,15,-,21608.8771820068,-,-,-,-,-,1924.51751232147
50401.0938,219.4438,-35.7165038664566,15,-,21694.1165924072,-,-,-,-,-,1928.06589603424
50622.4542,221.3604,-34.3902350662273,15,-,21810.3332519531,-,-,-,-,-,1929.06618118286
50842.2296,219.7754,-33.0664769830204,15,-,21920.223236084,-,-,-,-,-,1925.49395561218
51063.8579,221.6283,-31.7433038603126,15,-,22010.2577209473,-,-,-,-,-,1928.18510532379
51283.3973,219.5394,-30.4202709028445,15,-,22103.157043457,-,-,-,-,-,1932.13844299316
51502.6077,219.2104,-29.1045038664566,15,-,22190.4392242432,-,-,-,-,-,1931.16199970245
51724.4115,221.8038,-27.7845179362286,15,-,22275.2513885498,-,-,-,-,-,1933.30526351929
51952.1318,227.7203,-26.3986913814966,15,-,22361.7610931396,-,-,-,-,-,1932.18588829041
52172.0735,219.9417,-25.0900558660743,15,-,22449.0280151367,-,-,-,-,-,1933.5196018219
52392.9027,220.8292,-23.7555541090595,15,-,22518.6386108398,-,-,-,-,-,1931.66208267212
52613.1145,220.2118,-22.4450120166503,15,-,22593.282699585,-,-,-,-,-,1933.23385715485
52832.0933,218.9788,-21.1196219422907,15,-,22675.8613586426,-,-,-,-,-,1932.28137493134
53055.3084,223.2151,-19.7931848167977,15,-,22742.9828643799,-,-,-,-,-,1932.47175216675
53273.4474,218.139,-18.4623777880557,15,-,22829.4925689697,-,-,-,-,-,1934.04364585876
53493.783,220.3356,-17.1644475464086,15,-,22907.8559875488,-,-,-,-,-,1939.09251689911
53714.0166,220.2336,-15.8408859382493,15,-,22952.9590606689,-,-,-,-,-,1935.78219413757
53934.292,220.2754,-14.5185237013536,15,-,22995.7180023193,-,-,-,-,-,1937.7349615097
54153.1935,218.9015,-13.1910421052093,15,-,23054.8992156982,-,-,-,-,-,1929.94737625122
54374.5338,221.3403,-11.8743944178299,15,-,23083.5132598877,-,-,-,-,-,1933.40051174164
54596.3849,221.8511,-10.551038254966,15,-,23135.3740692139,-,-,-,-,-,1928.3754825592
54824.0967,227.7118,-9.18237777440237,15,-,23175.4264831543,-,-,-,-,-,1929.518699646
55044.7219,220.6252,-7.8542389028172,15,-,23235.9580993652,-,-,-,-,-,1924.96991157532
55265.066,220.3441,-6.53769042064249,15,-,23226.7265319824,-,-,-,-,-,1919.84963417053
55485.725,220.659,-5.20844177787032,15,-,23279.7870635986,-,-,-,-,-,1929.47101593018
55704.2122,218.4872,-3.88368018404709,15,-,23275.2895355225,-,-,-,-,-,1928.75647544861
55937.4356,233.2234,-2.54198736041588,15,-,23301.290512085,-,-,-,-,-,1937.52062320709
56157.6475,220.2119,-1.1798389007692,15,-,23287.9962921143,-,-,-,-,-,1929.23295497894
56375.8565,218.209,0.13165165196941,15,-,23316.9536590576,-,-,-,-,-,1932.28137493134
56595.087,219.2305,1.45222093330853,15,-,23313.5871887207,-,-,-,-,-,1934.04364585876
56815.2984,220.2114,2.76457677702552,15,-,23346.0292816162,-,-,-,-,-,1931.0427904129
57043.6898,228.3914,4.11416975715819,15,-,23325.1686096191,-,-,-,-,-,1931.63824081421
57265.9031,222.2133,5.46201166507662,15,-,23276.704788208,-,-,-,-,-,1928.35164070129
57485.8158,219.9127,6.78959053106392,15,-,23250.2212524414,-,-,-,-,-,1919.58749294281
57705.9039,220.0881,8.11381261978677,15,-,23219.367980957,-,-,-,-,-,1926.92267894745
57926.1153,220.2114,9.43086477727128,15,-,23182.1727752686,-,-,-,-,-,1931.51915073395
58145.2686,219.1533,10.7460250931414,15,-,23132.396697998,-,-,-,-,-,1925.8748292923
58367.9294,222.6608,12.0756711813727,15,-,23113.9087677002,-,-,-,-,-,1924.11255836487
58587.1399,219.2105,13.4023706968497,15,-,23075.4299163818,-,-,-,-,-,1932.18588829041
58808.3522,221.2123,14.7247975789206,15,-,23012.2451782227,-,-,-,-,-,1925.70817470551
59026.5617,218.2095,16.0387610937695,15,-,22967.0314788818,-,-,-,-,-,1932.61480331421
59247.7736,221.2119,17.3592558193116,15,-,22890.9492492676,-,-,-,-,-,1933.37678909302
59466.9849,219.2113,18.6793870143036,15,-,22829.4982910156,-,-,-,-,-,1933.42447280884
59686.1945,219.2096,20.007036300831,15,-,22731.8096160889,-,-,-,-,-,1923.73144626617
59907.4072,221.2127,21.3133876594241,15,-,22649.2118835449,-,-,-,-,-,1925.6843328476
60127.6186,220.2114,22.6389454139268,15,-,22604.3167114258,-,-,-,-,-,1927.49440670013
60347.8304,220.2118,23.9589473390484,15,-,22501.9474029541,-,-,-,-,-,1923.18367958069
60570.0433,222.2129,25.2916763047904,15,-,22435.7814788818,-,-,-,-,-,1924.82697963715
60786.2509,216.2076,26.6096193327952,15,-,22350.8911132813,-,-,-,-,-,1930.20939826965
