# SAVED: date 07/30/2021 time 16:47:34
*VERSION*1.100000
*ORIENTATION*0
*CHANNELS*11000000
*PDD*0

*abs time, delta time, iec x/y, iec z, tt1, tt2, tt3, tt4, tt5, tt6, tt7, tt8
29312.4514,249.6004,-90.2231612345853,15,17271.4595794678,8296.16355895996,-,-,-,-,-,-
29562.0519,249.6005,-88.7230230060859,15,17356.8725585938,8287.48035430908,-,-,-,-,-,-
29811.6523,249.6004,-87.2289372532205,15,17468.8549041748,8318.16673278809,-,-,-,-,-,-
30061.2528,249.6005,-85.7292085906453,15,17609.0469360352,8303.4610748291,-,-,-,-,-,-
30310.8532,249.6004,-84.2350844409745,15,17708.2862854004,8301.37062072754,-,-,-,-,-,-
30560.4536,249.6004,-82.7355055259402,15,17812.0422363281,8300.09651184082,-,-,-,-,-,-
30810.0541,249.6005,-81.2352213895804,15,17889.6903991699,8289.72625732422,-,-,-,-,-,-
31059.6545,249.6004,-79.7353916154176,15,18020.8721160889,8293.48087310791,-,-,-,-,-,-
31309.2549,249.6004,-78.2351215578864,15,18048.5515594482,8279.47425842285,-,-,-,-,-,-
31558.8554,249.6005,-76.7471484356501,15,18187.2653961182,8286.97872161865,-,-,-,-,-,-
31808.4558,249.6004,-75.2472610662793,15,18335.1058959961,8291.50485992432,-,-,-,-,-,-
32058.0563,249.6005,-73.7532610662793,15,18471.1227416992,8292.75608062744,-,-,-,-,-,-
32338.8568,280.8005,-72.1314115049628,15,18579.1206359863,8296.98371887207,-,-,-,-,-,-
32619.6572,280.8004,-70.3688220628044,15,18710.7715606689,8303.98845672607,-,-,-,-,-,-
32869.2577,249.6005,-68.8812393080896,15,18843.0976867676,8288.30718994141,-,-,-,-,-,-
33118.8581,249.6004,-67.3872085906453,15,18940.8702850342,8283.20026397705,-,-,-,-,-,-
33368.4586,249.6005,-65.8871036393772,15,19082.9544067383,8319.04697418213,-,-,-,-,-,-
33618.059,249.6004,-64.3874287323295,15,19185.6822967529,8295.58181762695,-,-,-,-,-,-
33867.6594,249.6004,-62.893038364808,15,19314.338684082,8316.86115264893,-,-,-,-,-,-
34117.2599,249.6005,-61.3934146535008,15,19394.4301605225,8285.82859039307,-,-,-,-,-,-
34366.8603,249.6004,-59.8990063674702,15,19522.7680206299,8297.46150970459,-,-,-,-,-,-
34616.4608,249.6005,-58.3995746401899,15,19655.8856964111,8301.53942108154,-,-,-,-,-,-
34866.0612,249.6004,-56.9053416995706,15,19784.0137481689,8297.18685150146,-,-,-,-,-,-
35115.6616,249.6004,-55.4048348617395,15,19901.798248291,8303.10153961182,-,-,-,-,-,-
35365.2621,249.6005,-53.8988092638692,15,19998.1250762939,8290.85731506348,-,-,-,-,-,-
35614.8625,249.6004,-52.4115516021067,15,20139.949798584,8286.10992431641,-,-,-,-,-,-
35864.4629,249.6004,-50.9101053224372,15,20245.3918457031,8299.31163787842,-,-,-,-,-,-
36114.0634,249.6005,-49.3989526119427,15,20361.852645874,8282.14550018311,-,-,-,-,-,-
36363.6638,249.6004,-47.9161769964739,15,20488.582611084,8301.78546905518,-,-,-,-,-,-
36613.2643,249.6005,-46.4174146535008,15,20582.4775695801,8308.02917480469,-,-,-,-,-,-
36862.8647,249.6004,-44.9235080857273,15,20678.2741546631,8285.5110168457,-,-,-,-,-,-
37112.4651,249.6004,-43.4233416995706,15,20832.0274353027,8303.4610748291,-,-,-,-,-,-
37362.0656,249.6005,-41.9297039094347,15,20929.5349121094,8302.03628540039,-,-,-,-,-,-
37611.666,249.6004,-40.4291740335204,15,21049.9687194824,8295.32432556152,-,-,-,-,-,-
37861.2665,249.6005,-38.9229321336465,15,21180.0136566162,8308.68148803711,-,-,-,-,-,-
38110.8669,249.6004,-37.4352533869182,15,21263.4830474854,8304.70657348633,-,-,-,-,-,-
38360.4673,249.6004,-35.9352687456404,15,21353.3096313477,8281.89468383789,-,-,-,-,-,-
38610.0678,249.6005,-34.4415669608289,15,21491.3883209229,8296.13876342773,-,-,-,-,-,-
38859.6682,249.6004,-32.9413340202095,15,21592.1325683594,8297.41382598877,-,-,-,-,-,-
39109.2686,249.6004,-31.4353033027652,15,21699.5716094971,8286.06128692627,-,-,-,-,-,-
39358.8691,249.6005,-29.9470575632107,15,21784.4791412354,8301.18560791016,-,-,-,-,-,-
39608.4695,249.6004,-28.4473404196771,15,21872.6978302002,8276.60179138184,-,-,-,-,-,-
39858.07,249.6005,-26.9475925586991,15,21979.3224334717,8280.72643280029,-,-,-,-,-,-
40107.6704,249.6004,-25.4471548351177,15,22067.2225952148,8284.09767150879,-,-,-,-,-,-
40357.2708,249.6004,-23.9533992947787,15,22157.6328277588,8298.38371276855,-,-,-,-,-,-
40606.8713,249.6005,-22.4595093656208,15,22273.2448577881,8300.10223388672,-,-,-,-,-,-
40856.4717,249.6004,-20.9470370849145,15,22324.8519897461,8288.84601593018,-,-,-,-,-,-
41106.0722,249.6005,-19.4594415312646,15,22397.8385925293,8303.49159240723,-,-,-,-,-,-
41355.6726,249.6004,-17.9591996313907,15,22499.6166229248,8300.62961578369,-,-,-,-,-,-
41605.273,249.6004,-16.471035805021,15,22554.2888641357,8311.0408782959,-,-,-,-,-,-
41854.8735,249.6005,-14.9715004063662,15,22608.419418335,8307.86228179932,-,-,-,-,-,-
42104.4739,249.6004,-13.4715388031716,15,22674.3907928467,8301.77211761475,-,-,-,-,-,-
42354.0743,249.6004,-11.971230348835,15,22721.6567993164,8296.57077789307,-,-,-,-,-,-
42603.6748,249.6005,-10.4770946801226,15,22779.4456481934,8290.06767272949,-,-,-,-,-,-
42853.2752,249.6004,-8.98312155788638,15,22813.4326934814,8308.62236022949,-,-,-,-,-,-
43102.8757,249.6005,-7.48335449850572,15,22847.0115661621,8297.34134674072,-,-,-,-,-,-
43352.4761,249.6004,-5.98366679252286,15,22878.5438537598,8299.13902282715,-,-,-,-,-,-
43602.0765,249.6004,-4.48305628331723,15,22947.0176696777,8312.44850158691,-,-,-,-,-,-
43851.677,249.6005,-2.98920731075175,15,22945.4898834229,8297.30606079102,-,-,-,-,-,-
44101.2774,249.6004,-1.48898204949348,15,22966.9361114502,8295.4740524292,-,-,-,-,-,-
44350.8779,249.6005,0.00501155103895345,15,22978.2009124756,8309.60464477539,-,-,-,-,-,-
44600.4783,249.6004,1.50546167038902,15,22979.4654846191,8309.69429016113,-,-,-,-,-,-
44850.0787,249.6004,3.00389380083577,15,22985.1970672607,8308.61663818359,-,-,-,-,-,-
45099.6792,249.6005,4.49776837127151,15,22925.2700805664,8292.61207580566,-,-,-,-,-,-
45349.2796,249.6004,5.99176197180395,15,22923.1243133545,8293.35403442383,-,-,-,-,-,-
45598.88,249.6004,7.49282300352611,15,22882.4157714844,8285.24780273438,-,-,-,-,-,-
45848.4805,249.6005,8.99155462905486,15,22844.9687957764,8296.23413085938,-,-,-,-,-,-
46098.0809,249.6004,10.4916416618137,15,22817.6975250244,8299.62921142578,-,-,-,-,-,-
46347.6814,249.6005,11.9859078796644,15,22806.2438964844,8301.49841308594,-,-,-,-,-,-
46706.482,358.8006,13.8377264291611,15,22755.521774292,8313.62247467041,-,-,-,-,-,-
47034.0826,327.6006,16.0840051515714,15,22639.6713256836,8289.80922698975,-,-,-,-,-,-
47283.683,249.6004,17.6076736591516,15,22575.2811431885,8301.06067657471,-,-,-,-,-,-
47533.2834,249.6004,19.0958899611552,15,22517.4694061279,8293.13945770264,-,-,-,-,-,-
